University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
Stellenbosch University,Education,2020,2598,66.18,28.9,11151700,3.33
University of Cape Town,Health Science,2019,2863,80.12,16.41,2902638,3.07
University of KwaZulu-Natal,Health Science,2015,897,74.42,29.45,10796238,3.05
University of Johannesburg,Engineering,2024,1847,61.1,21.92,5253937,2.43
Stellenbosch University,Education,2023,2703,84.62,17.16,4664534,2.0
Stellenbosch University,Law,2022,1395,64.59,5.35,10146477,2.95
University of Cape Town,Engineering,2021,184,83.11,21.28,16517162,2.95
University of KwaZulu-Natal,Health Science,2023,1721,86.21,20.44,11174477,2.8
Wits University,Health Science,2022,2978,63.09,14.42,15827039,2.21
University of KwaZulu-Natal,Humanities,2019,2383,64.02,19.78,6498828,2.73
University of Cape Town,Humanities,2024,2232,89.72,27.51,9160280,3.0
University of Pretoria,Education,2015,1250,58.52,14.79,7236429,3.49
Rhodes University,Engineering,2024,1093,74.94,19.73,5692330,3.19
Wits University,Education,2020,2728,94.26,18.1,17285066,2.17
University of Johannesburg,Humanities,2024,1503,74.84,16.43,16182840,3.37
Rhodes University,Law,2015,1510,60.68,18.66,7493459,2.36
University of Pretoria,Education,2023,1241,73.46,15.9,914677,2.22
University of Cape Town,Health Science,2024,2466,87.96,12.41,9291991,2.92
University of Pretoria,Engineering,2024,259,82.22,29.7,8631737,2.95
University of KwaZulu-Natal,Engineering,2024,1796,78.76,22.03,14976914,3.94
Wits University,Law,2018,2470,56.41,18.27,12837992,3.42
Wits University,Engineering,2017,207,92.0,11.8,7143957,3.66
University of Pretoria,Health Science,2019,2006,72.82,22.51,17590327,3.77
University of Cape Town,Humanities,2022,1346,94.54,5.83,17555954,2.74
University of KwaZulu-Natal,Humanities,2024,2452,55.53,22.84,7408550,3.11
Wits University,Engineering,2015,245,77.93,26.51,1816461,2.19
University of KwaZulu-Natal,Law,2018,739,57.31,19.43,15274758,2.27
University of KwaZulu-Natal,Humanities,2024,2497,59.55,13.88,11533321,3.57
Rhodes University,Humanities,2022,553,93.46,25.81,8194544,2.07
University of Johannesburg,Humanities,2023,468,51.71,27.02,19859474,3.54
Stellenbosch University,Law,2021,2138,53.88,7.47,6164142,2.37
University of KwaZulu-Natal,Health Science,2023,755,89.13,13.61,508261,3.78
Wits University,Education,2015,118,72.37,13.47,14010285,2.57
University of Cape Town,Law,2024,577,83.45,27.53,12188402,2.1
University of KwaZulu-Natal,Law,2018,1045,58.25,16.41,12771111,2.79
University of Johannesburg,Education,2021,1256,81.48,19.45,7580585,2.22
Stellenbosch University,Humanities,2023,1241,73.8,16.67,14382319,3.53
University of Johannesburg,Engineering,2022,2041,77.22,12.69,18264667,2.46
Rhodes University,Education,2022,1596,59.35,18.7,12121351,2.71
University of Johannesburg,Education,2017,1420,62.96,10.24,13036582,3.19
Rhodes University,Engineering,2020,457,63.12,10.79,17814169,2.7
Stellenbosch University,Humanities,2020,1995,85.31,18.45,4352216,3.24
University of KwaZulu-Natal,Humanities,2017,2576,51.7,20.76,4492347,2.58
University of Cape Town,Law,2023,1911,78.78,6.7,16147458,2.99
University of Pretoria,Law,2024,2130,62.43,13.08,10904083,2.04
Stellenbosch University,Humanities,2019,1346,52.34,10.91,11611617,3.93
Rhodes University,Law,2023,983,80.92,18.15,4387756,3.17
University of Cape Town,Law,2015,1730,55.9,29.24,19239199,2.14
Wits University,Humanities,2015,796,69.62,13.07,15940698,2.45
Stellenbosch University,Health Science,2016,2224,56.03,8.73,16968169,2.76
Rhodes University,Law,2020,1061,83.58,14.56,852892,3.99
University of Cape Town,Health Science,2016,2401,75.76,19.45,4463815,3.09
Rhodes University,Education,2023,458,63.91,20.16,16312132,2.99
University of Johannesburg,Humanities,2021,2193,85.32,21.97,12470042,2.23
Stellenbosch University,Law,2021,2287,87.03,29.94,18696323,3.55
University of KwaZulu-Natal,Health Science,2024,1524,58.55,6.68,6970979,2.14
Rhodes University,Engineering,2022,510,92.58,28.47,15790466,3.16
Wits University,Engineering,2015,2062,75.0,25.22,10841797,3.64
University of Johannesburg,Law,2021,144,93.4,25.17,13997672,2.74
Stellenbosch University,Education,2017,233,55.42,18.8,10800165,3.34
Stellenbosch University,Engineering,2017,2853,61.92,17.09,6706359,3.18
University of Johannesburg,Humanities,2018,1912,72.04,13.01,13855299,2.2
University of Cape Town,Health Science,2018,1693,90.63,16.1,11624982,3.67
University of Pretoria,Law,2023,2274,67.05,29.67,4922260,2.75
University of Pretoria,Law,2024,2285,69.26,15.09,1466947,2.53
Rhodes University,Law,2024,1839,55.12,28.94,1274288,3.04
University of Johannesburg,Humanities,2016,419,84.99,23.21,18835759,2.72
Wits University,Education,2018,1792,67.6,7.71,3665185,2.4
University of KwaZulu-Natal,Health Science,2023,2587,80.73,12.44,17412036,2.74
Wits University,Law,2021,1372,69.5,5.79,6015241,3.58
University of Johannesburg,Humanities,2024,1201,66.15,23.37,15180081,3.07
University of Johannesburg,Health Science,2022,2699,69.43,11.92,18912810,3.72
University of Cape Town,Education,2022,1493,55.48,9.63,9586322,2.11
Wits University,Health Science,2017,334,82.04,13.11,14923400,3.33
Stellenbosch University,Humanities,2015,2202,78.79,15.88,16040958,3.99
University of Johannesburg,Health Science,2015,2776,50.76,25.01,18596324,3.37
University of Johannesburg,Engineering,2022,2675,88.58,8.76,19162522,2.85
University of Cape Town,Humanities,2022,1202,67.81,23.32,3358408,3.88
University of KwaZulu-Natal,Education,2020,415,50.46,5.0,9304261,2.28
Stellenbosch University,Health Science,2021,619,62.49,11.17,2876690,2.71
University of Johannesburg,Education,2016,2013,65.76,24.38,9139806,2.22
University of KwaZulu-Natal,Education,2021,2549,56.52,10.86,3165757,2.03
University of Pretoria,Education,2021,936,69.89,15.47,15385060,2.36
University of Johannesburg,Health Science,2018,270,70.21,6.71,8111649,3.83
University of Johannesburg,Humanities,2017,816,82.45,17.96,8233301,2.59
Rhodes University,Humanities,2017,2059,80.22,11.51,2079747,2.8
University of Johannesburg,Engineering,2021,2792,78.48,20.87,18775146,2.28
University of Cape Town,Education,2016,2301,79.24,21.88,5849811,3.62
University of Johannesburg,Education,2023,1632,87.01,26.83,17542270,3.74
Wits University,Engineering,2021,480,57.19,20.64,10270220,3.26
Wits University,Health Science,2023,2027,52.77,22.43,9673962,3.81
Rhodes University,Health Science,2020,1138,85.67,12.19,9495400,2.96
University of Pretoria,Law,2023,2694,64.07,7.1,13386653,2.75
University of Johannesburg,Education,2020,2382,82.42,14.69,18478093,2.76
University of KwaZulu-Natal,Humanities,2023,2314,89.49,9.57,19402373,3.76
Rhodes University,Health Science,2020,602,83.5,28.83,12703341,2.38
Stellenbosch University,Health Science,2017,1118,78.9,7.26,3608643,3.54
Stellenbosch University,Engineering,2016,2192,94.99,28.8,1372773,2.89
Wits University,Health Science,2018,2960,51.89,15.51,7594092,2.36
University of Cape Town,Education,2018,1802,68.31,24.91,6664043,3.59
University of Cape Town,Health Science,2024,985,58.38,22.74,755180,3.28
Rhodes University,Education,2023,1144,53.66,15.72,13703092,3.94
Wits University,Humanities,2020,2960,56.4,23.9,19385627,3.9
Wits University,Education,2016,2889,90.59,27.43,676322,2.1
Stellenbosch University,Law,2022,1803,68.79,5.41,19357726,2.74
Wits University,Health Science,2020,722,82.81,8.87,15750246,2.05
Rhodes University,Humanities,2021,314,68.05,27.11,15209512,2.15
University of Johannesburg,Education,2023,752,76.15,23.04,19870526,2.22
University of KwaZulu-Natal,Health Science,2020,2800,77.67,26.47,5277437,3.57
Wits University,Health Science,2020,564,91.58,12.59,12477284,3.03
Wits University,Health Science,2022,2065,69.4,21.17,4501712,2.18
Rhodes University,Humanities,2019,961,70.18,7.57,15205861,3.31
University of Cape Town,Engineering,2018,1608,88.27,8.0,5366617,2.26
Stellenbosch University,Education,2016,2284,68.64,26.34,9538820,3.92
Rhodes University,Engineering,2016,234,63.43,26.42,11849941,3.7
Rhodes University,Education,2015,1837,60.1,16.68,15284106,2.93
University of Cape Town,Humanities,2023,2633,66.06,8.92,589804,3.98
University of Johannesburg,Humanities,2021,1295,52.53,21.64,15923642,3.89
Wits University,Humanities,2017,692,70.63,29.56,3612646,3.28
University of Cape Town,Humanities,2019,128,76.71,17.5,18878022,3.69
University of Pretoria,Humanities,2023,1157,84.88,14.47,19756819,2.91
University of Cape Town,Engineering,2022,368,89.64,15.49,13064510,3.7
University of Pretoria,Education,2016,2002,68.74,27.84,7501891,3.2
Wits University,Engineering,2020,2750,65.14,6.96,18667782,3.34
Rhodes University,Engineering,2017,1574,65.29,7.7,14203527,3.81
University of Johannesburg,Education,2024,293,76.92,15.89,7243219,3.05
Rhodes University,Education,2016,2708,90.63,6.51,3848353,3.57
Wits University,Humanities,2020,2172,83.78,7.62,9779833,2.62
Stellenbosch University,Law,2022,802,93.91,12.34,13377990,2.67
University of Cape Town,Engineering,2016,2349,52.63,29.2,15503611,3.07
Stellenbosch University,Health Science,2020,2181,90.4,13.55,11836068,3.12
Wits University,Engineering,2023,1035,65.64,17.76,5069915,2.15
University of KwaZulu-Natal,Education,2015,924,72.08,20.64,7345828,2.49
Wits University,Engineering,2024,261,92.54,25.35,11276903,2.96
Wits University,Humanities,2021,1155,73.13,9.71,14303027,2.55
Rhodes University,Law,2021,2854,55.52,7.12,5473699,3.63
Rhodes University,Engineering,2018,2729,88.72,21.76,18043479,2.26
University of Pretoria,Education,2024,1943,51.2,12.75,1521619,3.84
University of Johannesburg,Law,2018,1396,82.09,19.44,5742453,3.22
Wits University,Humanities,2018,817,81.47,5.15,18916264,3.28
University of Johannesburg,Humanities,2016,714,64.02,17.02,17180658,2.49
Stellenbosch University,Education,2022,1077,77.28,27.11,2894980,2.28
Stellenbosch University,Education,2018,2835,55.87,21.41,3557100,2.91
University of Johannesburg,Humanities,2018,1797,94.12,28.27,1405256,3.99
University of Pretoria,Law,2022,2596,75.45,25.57,8933970,3.51
University of Pretoria,Engineering,2019,374,58.8,18.8,13917418,3.52
Wits University,Health Science,2023,632,66.06,27.71,15444905,2.4
University of Pretoria,Humanities,2021,717,73.0,25.07,11768897,3.35
University of KwaZulu-Natal,Education,2017,485,72.48,26.76,12224021,3.97
University of Pretoria,Law,2016,2092,82.93,18.09,2285539,3.62
University of Johannesburg,Law,2019,881,64.69,18.56,13397672,2.57
University of Pretoria,Engineering,2016,1846,50.9,27.1,16665279,2.07
University of Cape Town,Education,2021,1493,86.81,14.81,18680752,3.37
University of Johannesburg,Humanities,2017,138,57.15,8.88,9888313,3.63
University of Cape Town,Education,2019,678,68.18,9.5,18452474,3.43
University of Cape Town,Humanities,2021,2077,83.54,18.13,15664944,3.65
Rhodes University,Law,2020,290,65.95,16.64,12302542,2.23
Rhodes University,Law,2016,2071,72.52,24.82,2028919,3.52
University of Cape Town,Engineering,2020,948,87.42,12.3,4044729,3.84
Stellenbosch University,Engineering,2022,1191,50.98,21.23,10314724,3.55
University of KwaZulu-Natal,Law,2019,1910,56.74,13.27,18848984,3.79
Rhodes University,Education,2020,2806,72.51,11.38,9391974,3.21
University of KwaZulu-Natal,Engineering,2016,625,64.76,14.65,16427497,2.49
University of Johannesburg,Engineering,2020,2373,79.38,11.54,17532552,3.35
University of Cape Town,Engineering,2021,2250,77.76,23.51,17956634,3.93
Wits University,Engineering,2022,1757,60.69,12.77,5042328,3.14
University of Johannesburg,Engineering,2020,588,66.23,5.29,10383831,2.58
University of Pretoria,Engineering,2016,1870,78.45,8.84,8140161,3.11
University of KwaZulu-Natal,Law,2018,2028,69.82,26.9,14494273,3.71
University of KwaZulu-Natal,Humanities,2018,1618,71.95,17.93,17847174,3.12
University of Cape Town,Law,2021,773,62.7,17.24,17503197,2.59
Rhodes University,Law,2018,1926,59.31,22.14,4494832,2.49
University of Cape Town,Education,2017,2593,92.79,6.29,1044880,3.76
Stellenbosch University,Health Science,2016,2532,94.72,26.02,1514280,2.84
University of Johannesburg,Humanities,2019,1294,61.19,9.39,14839007,3.62
University of Johannesburg,Engineering,2024,1295,70.99,6.82,12784403,2.15
University of Pretoria,Health Science,2023,508,58.21,10.12,10891809,3.89
University of Pretoria,Engineering,2016,2611,50.25,11.72,1511069,2.6
Wits University,Law,2022,2204,88.94,17.37,7141156,2.12
Rhodes University,Education,2023,233,93.84,12.65,15556892,3.52
Stellenbosch University,Education,2018,2249,67.93,28.92,740127,2.44
University of Johannesburg,Engineering,2019,1306,67.33,29.41,18349992,2.84
Stellenbosch University,Law,2021,1899,62.27,17.3,9041688,3.27
University of Cape Town,Health Science,2016,1185,82.02,15.97,19030403,2.86
University of Johannesburg,Law,2022,627,58.64,5.08,18913402,2.94
Wits University,Humanities,2023,2500,81.5,26.98,10237172,2.28
University of KwaZulu-Natal,Law,2024,1987,70.4,25.52,13307781,3.31
University of Pretoria,Health Science,2019,773,72.31,11.94,19945475,2.34
Wits University,Law,2020,2021,94.32,25.11,6931415,2.17
Rhodes University,Engineering,2023,167,55.02,28.78,5927420,3.36
Rhodes University,Health Science,2021,969,57.05,23.17,15893019,2.52
University of KwaZulu-Natal,Health Science,2024,335,54.83,14.01,3860571,3.01
Rhodes University,Engineering,2022,1437,80.93,28.89,3497015,3.64
University of KwaZulu-Natal,Engineering,2020,1945,70.58,16.99,16643263,3.95
University of Cape Town,Humanities,2015,469,88.72,13.59,10289336,2.28
University of Pretoria,Health Science,2021,1184,76.58,26.3,5875661,3.26
University of Pretoria,Law,2023,2776,63.62,28.88,2969666,2.12
University of Pretoria,Law,2024,1684,62.77,28.29,19413312,2.53
University of Johannesburg,Health Science,2016,2943,90.59,10.91,2627357,2.93
University of Johannesburg,Engineering,2017,2070,81.26,14.91,6066320,3.64
University of KwaZulu-Natal,Education,2016,436,60.91,7.98,10074926,2.02
University of Pretoria,Engineering,2021,558,68.22,9.26,18662641,2.75
Wits University,Education,2016,1335,88.65,13.98,1427064,3.69
University of Cape Town,Law,2019,1878,66.86,28.15,10509893,3.81
University of KwaZulu-Natal,Law,2024,980,77.44,18.18,3191660,3.57
Wits University,Education,2020,1136,81.0,6.41,17550040,3.21
Stellenbosch University,Education,2018,2941,60.93,20.42,2254378,2.29
University of KwaZulu-Natal,Humanities,2017,2626,57.9,24.22,9875152,2.62
University of Johannesburg,Education,2016,1992,60.22,19.69,14036164,2.67
Wits University,Humanities,2018,329,92.76,22.24,6550366,3.86
University of KwaZulu-Natal,Law,2022,1213,74.83,16.98,13318090,2.1
Wits University,Health Science,2019,2132,74.5,25.34,9529729,2.57
Stellenbosch University,Law,2022,1512,67.77,10.96,1673813,3.44
University of KwaZulu-Natal,Education,2019,191,90.77,10.6,17140849,3.67
Rhodes University,Engineering,2022,2336,75.71,9.97,8425523,3.82
Rhodes University,Health Science,2017,2974,62.79,17.37,4182508,3.11
University of Johannesburg,Education,2022,2399,60.55,15.12,17186851,2.22
Rhodes University,Health Science,2020,1373,56.94,18.49,3745142,2.3
University of Cape Town,Humanities,2023,834,72.32,26.51,12689446,3.55
Stellenbosch University,Law,2022,412,63.14,6.05,7660702,2.1
University of Cape Town,Health Science,2024,1645,53.58,7.84,14399182,2.32
Wits University,Humanities,2018,223,54.12,28.86,3641717,2.83
Rhodes University,Law,2020,1965,62.04,8.97,10254473,2.05
Rhodes University,Engineering,2015,2069,53.21,16.64,10760554,2.67
Stellenbosch University,Law,2022,1304,92.61,18.93,7607208,3.2
University of KwaZulu-Natal,Humanities,2023,1733,57.1,23.33,10370564,2.7
University of Johannesburg,Law,2020,1383,70.33,25.46,4693925,3.3
Wits University,Health Science,2024,125,54.44,9.22,8087361,2.52
University of Johannesburg,Education,2015,2289,56.86,13.55,13172518,3.28
Rhodes University,Education,2016,994,77.76,24.56,2736707,2.39
Rhodes University,Engineering,2015,2203,59.06,20.73,4031977,3.12
University of Pretoria,Humanities,2022,2035,67.57,5.69,6624628,2.25
Wits University,Humanities,2017,1195,58.39,29.38,17117260,3.9
University of KwaZulu-Natal,Engineering,2023,2466,87.27,28.51,5438963,3.61
Stellenbosch University,Humanities,2018,402,65.21,17.06,6154031,3.29
University of Cape Town,Health Science,2021,1098,87.05,9.68,10728783,3.05
University of Pretoria,Humanities,2024,1013,74.52,11.19,11318145,2.02
Rhodes University,Health Science,2016,1640,87.55,19.44,1545356,2.32
University of Pretoria,Education,2017,2768,81.78,27.25,6650779,2.01
University of KwaZulu-Natal,Humanities,2018,1401,74.54,13.72,17159010,2.43
University of Johannesburg,Law,2018,1184,76.04,15.62,11219834,2.29
Wits University,Health Science,2024,839,81.0,13.91,7440098,3.85
University of Johannesburg,Engineering,2022,2680,50.66,18.89,11897848,3.21
Wits University,Engineering,2023,1375,66.7,7.02,19715746,3.63
University of Cape Town,Health Science,2017,2361,62.57,16.72,19551985,3.38
Rhodes University,Humanities,2018,2627,68.11,27.85,18744325,2.47
Stellenbosch University,Education,2021,644,77.16,8.14,6169997,3.65
University of Cape Town,Law,2015,1398,57.39,12.93,10213243,2.97
University of Johannesburg,Law,2017,1119,50.73,26.56,14300434,3.47
Wits University,Health Science,2023,2694,59.53,14.7,1600312,3.18
Stellenbosch University,Law,2023,2067,92.46,9.81,7875632,2.62
University of KwaZulu-Natal,Humanities,2022,257,80.95,14.16,4078711,2.0
Stellenbosch University,Humanities,2015,1049,74.72,17.29,18047653,3.73
University of Johannesburg,Law,2021,2453,59.84,21.22,4969185,3.58
Wits University,Law,2016,681,67.62,5.88,14952716,2.6
University of Pretoria,Humanities,2020,385,86.34,19.57,776325,3.8
University of KwaZulu-Natal,Engineering,2016,2993,64.31,19.63,5424412,3.23
Rhodes University,Humanities,2023,2329,73.54,28.58,15682369,2.55
Wits University,Law,2022,1819,64.84,24.12,15053466,2.85
Wits University,Law,2021,577,52.8,12.08,11539569,3.02
Wits University,Education,2016,324,60.98,27.72,13827560,2.04
University of Cape Town,Health Science,2024,901,64.82,22.31,2002646,3.92
Rhodes University,Health Science,2021,2324,70.17,7.16,12759179,2.77
University of Johannesburg,Education,2022,1250,64.55,28.54,6044316,2.39
University of KwaZulu-Natal,Health Science,2016,2893,83.51,28.08,7898695,3.59
University of Cape Town,Law,2018,2310,64.66,28.06,15288336,3.0
University of Pretoria,Engineering,2020,1202,73.91,8.58,8908682,3.46
University of Cape Town,Law,2019,2226,68.35,20.66,17975304,2.99
University of Cape Town,Health Science,2021,1469,69.66,11.55,17727590,3.71
University of Pretoria,Education,2016,408,60.11,24.22,16991155,3.97
Stellenbosch University,Humanities,2022,298,91.38,25.8,4091354,2.33
Stellenbosch University,Humanities,2020,989,63.39,7.56,5938243,2.97
University of Johannesburg,Education,2017,2525,68.64,29.47,1815443,3.38
University of Pretoria,Law,2022,689,59.59,19.67,6856492,2.74
Wits University,Health Science,2018,2856,93.71,13.82,16837875,2.03
Wits University,Humanities,2015,661,68.43,6.21,10954506,3.1
University of Johannesburg,Engineering,2016,210,58.27,14.62,15616932,2.23
University of Cape Town,Education,2021,211,75.57,24.73,17661582,4.0
Rhodes University,Education,2024,363,58.12,27.01,1510473,2.48
University of Pretoria,Health Science,2016,1225,63.96,27.18,10642766,2.23
University of Pretoria,Humanities,2018,1858,90.9,20.31,12875695,3.36
University of KwaZulu-Natal,Health Science,2021,1838,62.77,14.98,15631373,3.4
Stellenbosch University,Humanities,2017,364,66.2,20.67,12099949,3.45
University of Johannesburg,Education,2017,1003,77.26,9.19,9491430,2.17
University of Pretoria,Engineering,2019,104,93.15,12.88,1158160,3.66
Wits University,Law,2019,661,82.6,11.92,17036404,2.9
University of KwaZulu-Natal,Health Science,2015,2717,75.82,18.53,13320692,3.09
University of KwaZulu-Natal,Humanities,2019,2698,94.25,22.94,2952016,3.77
University of Johannesburg,Education,2022,2200,60.3,5.07,13727497,2.07
University of KwaZulu-Natal,Law,2017,1994,59.15,12.51,7970259,2.84
University of Johannesburg,Humanities,2016,249,85.79,9.45,11149653,3.47
University of KwaZulu-Natal,Engineering,2023,235,64.35,26.98,12449971,2.82
University of Pretoria,Law,2024,119,71.99,13.98,16068509,3.28
University of Cape Town,Humanities,2017,1567,82.15,17.44,14488333,2.8
University of Cape Town,Health Science,2016,2170,57.75,23.54,17497846,3.42
Rhodes University,Health Science,2022,2457,73.34,12.84,18848824,3.62
Wits University,Health Science,2022,2487,59.09,13.04,15677366,2.41
University of KwaZulu-Natal,Law,2021,1379,56.32,20.43,3886115,3.9
Stellenbosch University,Health Science,2017,362,58.99,29.49,11681198,2.26
University of Johannesburg,Health Science,2022,967,78.26,22.55,5909400,2.59
University of Johannesburg,Health Science,2015,1102,73.65,21.28,18389358,3.98
University of Johannesburg,Engineering,2018,2563,85.72,18.7,16706841,2.92
University of Johannesburg,Engineering,2021,1122,60.71,11.12,16311557,2.45
University of KwaZulu-Natal,Humanities,2017,1888,78.03,13.78,14530210,3.1
Wits University,Education,2022,1877,71.96,23.26,1267070,2.14
University of Cape Town,Health Science,2024,1186,91.91,27.76,12423557,3.63
University of Pretoria,Humanities,2023,2022,65.6,17.02,9828675,3.94
University of Pretoria,Engineering,2015,2788,81.65,22.88,17358699,3.83
University of Cape Town,Law,2015,1463,87.04,23.52,11998089,3.28
University of Pretoria,Engineering,2015,2070,53.85,14.44,6512303,3.49
University of Johannesburg,Education,2016,817,68.13,7.65,8881378,2.5
Wits University,Health Science,2015,2813,81.15,10.95,17569072,3.71
University of Cape Town,Health Science,2022,933,55.93,22.98,17783783,3.72
Rhodes University,Education,2024,2362,56.41,25.07,11288998,3.6
Wits University,Law,2015,2639,83.89,12.37,3764233,2.15
Rhodes University,Health Science,2021,2573,74.0,25.88,19789039,3.33
University of Pretoria,Humanities,2019,2391,54.47,20.14,2498869,2.8
University of Cape Town,Humanities,2015,336,76.04,20.76,8727701,2.58
University of Pretoria,Law,2017,2409,62.77,19.59,13387004,2.87
Stellenbosch University,Engineering,2020,2743,66.84,16.88,15029135,2.84
University of Pretoria,Law,2017,1360,76.81,13.46,7503634,3.81
University of Johannesburg,Education,2017,1998,88.82,18.25,11610199,3.9
University of Johannesburg,Law,2016,1228,65.7,5.71,6580011,3.38
University of KwaZulu-Natal,Humanities,2015,904,89.24,14.15,17474111,3.54
Rhodes University,Engineering,2017,2856,78.82,29.21,14986628,3.22
University of Cape Town,Health Science,2023,1649,72.42,11.73,5384255,3.32
University of Johannesburg,Humanities,2023,701,86.42,26.71,19919009,2.24
University of Cape Town,Education,2021,2378,92.52,9.72,17215674,2.19
University of Cape Town,Health Science,2020,1503,55.31,7.47,16175061,2.1
University of KwaZulu-Natal,Law,2021,2850,51.01,11.56,17444125,2.43
University of Pretoria,Engineering,2022,183,62.88,20.28,18661544,2.33
University of Cape Town,Humanities,2019,1792,72.66,24.58,19493051,3.16
University of Johannesburg,Health Science,2015,2884,90.13,22.41,17856687,3.57
University of Pretoria,Health Science,2020,2724,71.24,7.31,19178783,3.92
Wits University,Law,2020,275,60.74,10.25,514203,2.2
University of Johannesburg,Humanities,2017,2210,54.07,26.51,10069026,3.46
University of Pretoria,Engineering,2015,2304,70.81,17.17,632851,3.64
Rhodes University,Law,2016,1994,68.82,13.44,4345225,3.24
Stellenbosch University,Education,2016,1754,55.95,22.04,15907899,3.48
Wits University,Humanities,2017,165,58.77,20.44,19996706,2.75
